Transaction ID,Merchant ID,Amount,Capture Method,Payment Method,Exact Date,Card Number,Card Holder Name,Installments,Card Brand,Issuer Bank,Issuer Country,Transaction Status,Transaction Type,Merchant Category Code (MCC),Currency,Fraud Indicator,Transaction Date,Transaction Time,Merchant City,Merchant State
TX00011,M0011,331.76,POS,Debit Card,2024-04-01 13:00:13,3545053639247142,Amber Stevens,4,MasterCard,HSBC,USA,Approved,Refund,4798,EUR,1,2024-04-01,13:00:13,Lake Brenda,Ohio
TX00012,M0012,156.19,Online,Debit Card,2024-07-29 20:37:51,345556907387059,Meghan Ward,3,MasterCard,HSBC,Australia,Declined,Refund,9927,AUD,1,2024-07-29,20:37:51,Sydneyberg,Arizona
TX00013,M0013,567.06,POS,Credit Card,2024-09-08 19:45:28,30383146481753,Jonathan Flowers,10,MasterCard,Bank of America,Australia,Approved,Refund,2264,AUD,0,2024-09-08,19:45:28,Adriennechester,Ohio
TX00014,M0014,870.27,ATM,Debit Card,2025-03-11 23:07:04,346844150638249,Joseph Wright,3,Discover,Bank of America,UK,Declined,Chargeback,7540,CAD,0,2025-03-11,23:07:04,New Kimberly,Maine
TX00015,M0015,876.9,Online,Credit Card,2025-03-09 06:44:54,573056574268,Jose Blankenship,6,American Express,Wells Fargo,Germany,Pending,Purchase,1567,USD,1,2025-03-09,06:44:54,South Toddfort,Wisconsin
TX00016,M0016,828.64,ATM,Debit Card,2025-01-11 08:46:02,2237831738630044,Diane Simon,11,Discover,Bank of America,Canada,Declined,Chargeback,2748,GBP,1,2025-01-11,08:46:02,West Anneburgh,Wyoming
TX00017,M0017,465.27,ATM,Credit Card,2024-06-08 06:47:50,6517709737133966,Jared Jones,3,MasterCard,HSBC,USA,Pending,Refund,8451,AUD,1,2024-06-08,06:47:50,Michaelmouth,North Dakota
TX00018,M0018,756.66,POS,Debit Card,2024-08-20 19:13:07,3516359348937906,Vincent Lucas,5,Discover,Wells Fargo,USA,Approved,Refund,1207,USD,1,2024-08-20,19:13:07,Oneillchester,Texas
TX00019,M0019,498.69,Online,Debit Card,2024-10-09 15:12:06,340210646004444,Mr. Gabriel Crosby,1,MasterCard,Citibank,Australia,Declined,Chargeback,8335,AUD,0,2024-10-09,15:12:06,East Maria,Georgia
TX00020,M0020,979.31,Online,Credit Card,2024-08-28 11:55:18,3512894337479175,Shari Harris,8,Discover,Citibank,UK,Pending,Chargeback,5564,CAD,1,2024-08-28,11:55:18,West Frederickland,Alabama
TX00021,M0021,211.09,ATM,Debit Card,2024-06-06 16:59:15,375823782288718,Michael Cannon,12,Discover,Chase,Canada,Declined,Chargeback,3090,EUR,0,2024-06-06,16:59:15,North Thomas,Maryland
TX00022,M0022,461.61,Online,Credit Card,2024-06-11 19:53:15,30130909780131,Anna Long,9,MasterCard,HSBC,Canada,Pending,Refund,9237,EUR,0,2024-06-11,19:53:15,East Barbarafurt,North Carolina
TX00023,M0023,38.56,ATM,Debit Card,2024-08-27 03:47:56,374735626042096,Sarah Evans,2,American Express,Citibank,UK,Declined,Purchase,7180,USD,1,2024-08-27,03:47:56,North Jessica,New York
TX00024,M0024,261.4,Online,Credit Card,2024-12-04 18:43:55,4035357518567726965,Michael Harris,10,Discover,HSBC,Germany,Approved,Chargeback,8844,EUR,1,2024-12-04,18:43:55,North Don,Vermont
TX00025,M0025,455.52,ATM,Credit Card,2024-09-13 13:35:34,3579457904297246,Michael Smith,3,Visa,Citibank,USA,Pending,Chargeback,4700,CAD,1,2024-09-13,13:35:34,Mckeeburgh,Nebraska
TX00026,M0026,341.14,ATM,Debit Card,2024-05-19 19:39:20,30198720478912,Jennifer Winters,5,Visa,Citibank,Germany,Approved,Refund,8639,GBP,1,2024-05-19,19:39:20,South Robin,Illinois
TX00027,M0027,136.2,POS,Credit Card,2024-12-24 13:39:20,4597227441483971,Anthony Spears,12,American Express,Wells Fargo,Canada,Declined,Purchase,6145,EUR,1,2024-12-24,13:39:20,Robertburgh,Michigan
TX00028,M0028,285.11,POS,Credit Card,2024-04-10 03:11:21,4912936170460833363,Jason Nguyen,7,American Express,Citibank,Germany,Approved,Purchase,4304,GBP,0,2024-04-10,03:11:21,Lake Andrew,Nevada
TX00029,M0029,814.7,POS,Debit Card,2025-01-14 21:00:55,4964051237210967,Joshua Mejia,3,American Express,Bank of America,UK,Pending,Chargeback,6190,AUD,1,2025-01-14,21:00:55,Stevenside,Oklahoma
TX00030,M0030,82.37,ATM,Credit Card,2024-06-03 10:14:24,3565829173742571,Kayla Jarvis,3,Discover,Chase,UK,Declined,Refund,2121,USD,1,2024-06-03,10:14:24,Stevensville,North Carolina
TX00031,M0031,533.86,POS,Debit Card,2025-01-12 02:52:57,30051922194334,Richard Reed,4,MasterCard,Bank of America,USA,Approved,Chargeback,5190,USD,1,2025-01-12,02:52:57,Christopherberg,Georgia
TX00032,M0032,198.53,ATM,Credit Card,2024-04-01 16:59:20,4189069345178,Michael Reeves,9,American Express,Bank of America,USA,Approved,Refund,3355,GBP,1,2024-04-01,16:59:20,Morganview,Iowa
TX00033,M0033,138.52,POS,Debit Card,2024-09-21 12:26:24,372630408834301,Rhonda Elliott,4,Discover,Wells Fargo,Germany,Approved,Refund,7021,CAD,0,2024-09-21,12:26:24,New Timothy,Alabama
TX00034,M0034,338.89,ATM,Debit Card,2024-12-12 18:17:48,6550300176250640,John Daniels,11,American Express,Citibank,USA,Declined,Purchase,5056,EUR,0,2024-12-12,18:17:48,Port Williamtown,North Carolina
TX00035,M0035,223.72,Online,Debit Card,2024-03-28 08:17:04,36796933197247,Edward Finley,10,Discover,Chase,Australia,Approved,Refund,8652,AUD,1,2024-03-28,08:17:04,South Melissafurt,Maryland
TX00036,M0036,229.04,ATM,Credit Card,2025-02-04 10:03:26,4270992255407775837,Gina Johnson,12,American Express,Wells Fargo,Germany,Approved,Purchase,4715,GBP,0,2025-02-04,10:03:26,Christinefurt,Arkansas
TX00037,M0037,846.73,Online,Credit Card,2024-03-23 16:21:07,4288921429933858,Anthony Morris,6,MasterCard,Citibank,Australia,Declined,Refund,9227,EUR,0,2024-03-23,16:21:07,Davidside,Nevada
TX00038,M0038,667.03,POS,Debit Card,2024-05-22 16:27:54,4771008688231818978,Peter Wilson,11,American Express,HSBC,UK,Declined,Chargeback,2723,USD,0,2024-05-22,16:27:54,Andrewsside,Kansas
TX00039,M0039,684.37,ATM,Debit Card,2024-06-25 01:06:46,4205134217783150,Rebecca Hartman,1,Discover,Chase,Australia,Declined,Purchase,6221,AUD,1,2024-06-25,01:06:46,North Melindaville,Rhode Island
TX00040,M0040,758.04,ATM,Debit Card,2025-02-06 16:15:09,4607962628245102,Bryan Williams,1,Discover,Wells Fargo,Australia,Declined,Refund,5279,CAD,1,2025-02-06,16:15:09,New Maryville,Iowa
TX00041,M0041,816.31,POS,Debit Card,2025-01-18 16:58:44,6589799231275275,James Hodge,8,MasterCard,Bank of America,Germany,Declined,Refund,9176,USD,1,2025-01-18,16:58:44,New Johnny,Arkansas
TX00042,M0042,501.05,Online,Debit Card,2025-02-26 20:46:53,4334560299523193,Diana Cohen,11,Visa,Bank of America,Germany,Declined,Refund,6484,AUD,0,2025-02-26,20:46:53,Kimberlyburgh,Texas
TX00043,M0043,168.1,ATM,Debit Card,2024-07-12 15:36:18,4078766209569271,Jeffrey Bowman,5,Visa,HSBC,USA,Declined,Refund,2790,CAD,0,2024-07-12,15:36:18,Brownfort,Texas
TX00044,M0044,987.84,POS,Credit Card,2025-02-12 20:56:03,2228288901966443,Brian Giles,1,Visa,Bank of America,Germany,Declined,Refund,6617,AUD,1,2025-02-12,20:56:03,Peckmouth,Utah
TX00045,M0045,154.19,POS,Credit Card,2024-07-08 09:41:26,6574567127179290,Melissa Cook,11,American Express,HSBC,Canada,Declined,Refund,1854,GBP,1,2024-07-08,09:41:26,East Jessicaville,Colorado
TX00046,M0046,754.0,Online,Debit Card,2024-06-28 10:59:38,5259211702256330,Mary Arroyo,6,MasterCard,Bank of America,Canada,Approved,Purchase,2991,EUR,0,2024-06-28,10:59:38,Hardybury,Maine
TX00047,M0047,224.35,POS,Credit Card,2024-07-22 14:47:06,342846623099499,Julie Nelson,12,MasterCard,Bank of America,Canada,Declined,Chargeback,8426,EUR,0,2024-07-22,14:47:06,North Melanieport,Kentucky
TX00048,M0048,432.86,POS,Credit Card,2024-06-02 21:18:06,370313335475215,Pamela Simon,6,Visa,HSBC,Australia,Declined,Purchase,7838,EUR,0,2024-06-02,21:18:06,Ritaview,Georgia
TX00049,M0049,211.15,Online,Credit Card,2025-01-14 05:58:19,4838628955753791,Teresa White,12,MasterCard,Citibank,Germany,Pending,Chargeback,9835,CAD,1,2025-01-14,05:58:19,Powellborough,New York
TX00050,M0050,545.32,ATM,Debit Card,2024-08-15 14:49:19,3514624581245479,Christopher Wright,4,Discover,Bank of America,Australia,Declined,Chargeback,7857,AUD,0,2024-08-15,14:49:19,Lawrencehaven,Hawaii
TX00051,M0051,655.79,POS,Debit Card,2024-12-06 13:30:41,38552800910479,Michael Wu,3,Visa,Bank of America,Canada,Pending,Purchase,8712,CAD,0,2024-12-06,13:30:41,Davischester,Oklahoma
TX00052,M0052,448.34,POS,Credit Card,2025-02-23 18:35:46,4174850412306326,Tammy Lowe,7,Visa,Wells Fargo,USA,Pending,Chargeback,3631,AUD,1,2025-02-23,18:35:46,Larryview,South Carolina
TX00053,M0053,48.62,Online,Debit Card,2024-06-07 01:40:23,3596524046886241,Amanda Miller,7,Discover,HSBC,UK,Pending,Refund,7020,CAD,0,2024-06-07,01:40:23,South Kevin,South Dakota
TX00054,M0054,254.47,Online,Debit Card,2024-09-25 06:14:34,36443267489425,Vincent Osborn,2,American Express,HSBC,UK,Approved,Chargeback,3483,CAD,1,2024-09-25,06:14:34,Barnesside,Indiana
TX00055,M0055,624.67,ATM,Credit Card,2024-09-12 03:23:32,30524455153653,Matthew Hawkins,6,Visa,HSBC,Australia,Declined,Purchase,9710,USD,0,2024-09-12,03:23:32,Mooreville,Texas
TX00056,M0056,322.97,ATM,Credit Card,2024-09-17 08:52:06,213199124711667,Kristy Walker,7,Visa,HSBC,Germany,Approved,Purchase,7798,GBP,1,2024-09-17,08:52:06,New Brianport,Montana
TX00057,M0057,504.85,Online,Debit Card,2024-04-20 20:15:19,4765821614521634971,Geoffrey Davis,1,Discover,HSBC,Germany,Declined,Chargeback,2710,USD,1,2024-04-20,20:15:19,East Micheletown,Alabama
TX00058,M0058,268.03,POS,Credit Card,2024-04-28 01:23:15,180074967846533,Robert Rios,7,Visa,Wells Fargo,Germany,Declined,Refund,3899,AUD,1,2024-04-28,01:23:15,Angelafort,Ohio
TX00059,M0059,742.57,POS,Debit Card,2025-02-26 01:48:32,4184510589433506428,Susan Watkins,7,American Express,Bank of America,USA,Declined,Purchase,4541,USD,0,2025-02-26,01:48:32,Waltonton,New Hampshire
TX00060,M0060,549.87,ATM,Credit Card,2025-01-02 00:49:00,2322103221665390,Laura Murray,1,Visa,Chase,UK,Declined,Refund,4787,CAD,0,2025-01-02,00:49:00,Powellmouth,Georgia
TX00061,M0061,601.5,POS,Debit Card,2024-11-18 23:16:04,4300640067435240,Daniel Schultz,3,American Express,Bank of America,UK,Approved,Chargeback,1163,GBP,0,2024-11-18,23:16:04,Chavezberg,Mississippi
TX00062,M0062,851.98,POS,Credit Card,2025-01-21 00:52:10,4060831393562863351,Joan Buck,2,MasterCard,Wells Fargo,Australia,Approved,Chargeback,1550,USD,1,2025-01-21,00:52:10,East David,Alabama
TX00063,M0063,566.09,POS,Debit Card,2024-06-10 12:34:20,6011894138924121,Jason Rivera,2,Visa,Citibank,Canada,Declined,Refund,8118,CAD,0,2024-06-10,12:34:20,Millerbury,South Carolina
TX00064,M0064,287.99,ATM,Debit Card,2024-06-23 22:05:27,6587186968648746,Dana Hayes,12,MasterCard,Chase,UK,Declined,Purchase,8132,CAD,1,2024-06-23,22:05:27,Port Rhonda,Massachusetts
TX00065,M0065,28.85,POS,Credit Card,2024-08-25 10:22:11,4315020999311456617,Terry Mcdaniel,1,American Express,Bank of America,Germany,Approved,Chargeback,3192,USD,1,2024-08-25,10:22:11,Port Beckystad,Maine
TX00066,M0066,133.25,Online,Debit Card,2024-08-23 21:03:30,560267954629,Mark Wilson,7,Visa,Citibank,USA,Pending,Purchase,8225,GBP,0,2024-08-23,21:03:30,Port Sharonfurt,Wyoming
TX00067,M0067,143.48,Online,Credit Card,2025-01-12 15:15:45,6549444501121284,Miss Pamela Bautista,8,MasterCard,Wells Fargo,Canada,Approved,Refund,9745,EUR,0,2025-01-12,15:15:45,East Lindsay,Nevada
TX00068,M0068,793.96,Online,Debit Card,2024-07-23 06:33:39,4397195908380694682,Matthew Smith,11,Discover,Wells Fargo,UK,Pending,Purchase,2958,USD,1,2024-07-23,06:33:39,Penaport,Arizona
TX00069,M0069,373.32,Online,Debit Card,2025-01-20 13:00:37,180039843927500,Tammy Blevins,4,Discover,Wells Fargo,Australia,Pending,Purchase,4259,CAD,0,2025-01-20,13:00:37,South Dennis,Texas
TX00070,M0070,962.68,POS,Credit Card,2024-10-09 02:33:48,3560916710233316,Michael Henderson,3,American Express,Wells Fargo,Australia,Pending,Purchase,7839,GBP,1,2024-10-09,02:33:48,Lake Summer,Colorado
TX00071,M0071,632.62,Online,Debit Card,2025-02-05 14:35:29,213165152382747,Charles Strong,2,MasterCard,Citibank,Germany,Approved,Purchase,2317,AUD,1,2025-02-05,14:35:29,East David,Rhode Island
TX00072,M0072,647.46,POS,Credit Card,2024-09-25 09:28:34,6011479137666558,Erica Edwards,10,Discover,Chase,Australia,Pending,Purchase,8875,EUR,0,2024-09-25,09:28:34,Obrienmouth,Pennsylvania
TX00073,M0073,94.27,ATM,Debit Card,2024-04-25 06:07:13,30459804108043,Diana Preston,10,Visa,HSBC,USA,Declined,Chargeback,4770,GBP,0,2024-04-25,06:07:13,Snyderton,Idaho
TX00074,M0074,17.86,Online,Debit Card,2024-03-17 07:26:41,30076784587176,Andre Sanchez,4,Visa,Wells Fargo,UK,Approved,Refund,7811,AUD,1,2024-03-17,07:26:41,Steveside,Michigan
TX00075,M0075,919.29,Online,Debit Card,2024-07-27 04:22:37,4098207774452174361,Kevin Holmes,5,MasterCard,Citibank,Canada,Approved,Purchase,9664,CAD,0,2024-07-27,04:22:37,Garyport,Indiana
TX00076,M0076,492.43,Online,Debit Card,2024-10-18 20:03:42,4745982875921493212,James Bass,4,MasterCard,Bank of America,USA,Approved,Purchase,1038,USD,1,2024-10-18,20:03:42,North Dennis,Ohio
TX00077,M0077,20.06,Online,Credit Card,2024-04-14 03:42:20,30300647479581,Jason Hudson,9,Visa,HSBC,USA,Pending,Purchase,2102,CAD,1,2024-04-14,03:42:20,South Abigail,New Jersey
TX00078,M0078,866.67,ATM,Credit Card,2025-01-06 03:21:11,4986131365625,Donald Mills,11,American Express,Bank of America,UK,Declined,Purchase,8774,CAD,0,2025-01-06,03:21:11,Lake Joseph,Maryland
TX00079,M0079,876.6,POS,Credit Card,2024-03-28 09:13:59,4907957629721267491,Jennifer Hernandez,3,Discover,HSBC,UK,Approved,Purchase,2295,USD,0,2024-03-28,09:13:59,Lake Matthew,Nebraska
TX00080,M0080,227.43,Online,Debit Card,2025-01-18 11:01:44,639066299657,Robert Foster,3,MasterCard,Citibank,USA,Pending,Refund,7413,USD,0,2025-01-18,11:01:44,North Johntown,Arizona
TX00081,M0081,112.22,POS,Debit Card,2024-09-15 00:59:13,6011753020169973,Laura Clayton,2,MasterCard,Bank of America,USA,Approved,Chargeback,8816,AUD,1,2024-09-15,00:59:13,South Michael,West Virginia
TX00082,M0082,573.14,ATM,Debit Card,2025-01-14 15:50:07,38318418271674,Stephen Walters,4,MasterCard,HSBC,USA,Pending,Purchase,5038,GBP,0,2025-01-14,15:50:07,East Brendahaven,West Virginia
TX00083,M0083,288.04,POS,Debit Card,2025-03-04 17:24:50,3551843045531431,Daniel May,6,American Express,Chase,Canada,Declined,Chargeback,3183,EUR,1,2025-03-04,17:24:50,New Amy,Maine
TX00084,M0084,976.95,Online,Credit Card,2024-06-04 04:44:29,5157343631249434,Leslie Serrano,8,MasterCard,Bank of America,Germany,Pending,Refund,3317,GBP,1,2024-06-04,04:44:29,Port Christopherville,Alabama
TX00085,M0085,632.24,ATM,Debit Card,2025-03-05 15:30:05,639069915614,Robert Christian,6,Visa,Bank of America,USA,Approved,Chargeback,5811,AUD,1,2025-03-05,15:30:05,New Chelseahaven,Delaware
TX00086,M0086,507.31,ATM,Credit Card,2025-01-29 17:00:18,570411011952,Brandy Smith,12,Visa,Citibank,Australia,Declined,Purchase,8493,USD,0,2025-01-29,17:00:18,Ryanmouth,Arkansas
TX00087,M0087,168.44,ATM,Credit Card,2024-09-20 18:16:24,4924839551604297,James Hawkins,8,Visa,Wells Fargo,USA,Approved,Chargeback,8721,CAD,1,2024-09-20,18:16:24,West Michael,Indiana
TX00088,M0088,204.5,POS,Credit Card,2025-03-04 03:39:29,4972909658818413802,Franklin Simpson,2,MasterCard,HSBC,USA,Approved,Chargeback,5303,AUD,1,2025-03-04,03:39:29,West Markbury,New Jersey
TX00089,M0089,285.51,Online,Debit Card,2024-10-13 07:35:18,4301642520958643,Leah King,9,American Express,Chase,Germany,Approved,Purchase,5592,EUR,0,2024-10-13,07:35:18,Nicholasmouth,Arizona
TX00090,M0090,317.36,POS,Credit Card,2024-08-29 14:46:39,675929469749,Vanessa Hall,3,American Express,Bank of America,UK,Approved,Purchase,9184,CAD,1,2024-08-29,14:46:39,Williamschester,Illinois
TX00091,M0091,191.79,POS,Credit Card,2025-01-18 17:24:46,3504620004207882,Kristen Freeman,6,American Express,Citibank,UK,Pending,Purchase,2816,EUR,1,2025-01-18,17:24:46,West Ginaview,South Carolina
TX00092,M0092,564.02,POS,Credit Card,2024-09-02 18:26:57,4584433202717444739,Brandon Chapman,6,American Express,Bank of America,Germany,Pending,Purchase,1869,EUR,1,2024-09-02,18:26:57,Jonesbury,Iowa
TX00093,M0093,667.33,ATM,Credit Card,2024-11-21 15:24:43,4789256469150,Jason Logan,8,Visa,Citibank,USA,Declined,Refund,6974,USD,0,2024-11-21,15:24:43,West Barryville,North Carolina
TX00094,M0094,427.15,POS,Debit Card,2024-12-08 11:45:54,3539725139573980,Tammy Hayes,6,Visa,Citibank,Australia,Declined,Purchase,5145,EUR,0,2024-12-08,11:45:54,Jasonton,Kentucky
TX00095,M0095,779.28,POS,Credit Card,2024-04-14 08:46:42,180015801418674,Larry King,7,MasterCard,Bank of America,USA,Declined,Chargeback,8112,EUR,0,2024-04-14,08:46:42,Mejialand,Washington
TX00096,M0096,206.18,POS,Credit Card,2024-04-24 02:25:46,3504378751392056,Hector Hendricks,6,MasterCard,Wells Fargo,USA,Approved,Chargeback,6845,EUR,0,2024-04-24,02:25:46,Michaelberg,Wisconsin
TX00097,M0097,46.67,ATM,Debit Card,2024-05-22 01:16:32,180097165678416,Gregory Morales,2,American Express,HSBC,Canada,Approved,Refund,8275,EUR,0,2024-05-22,01:16:32,South Stephanietown,Colorado
TX00098,M0098,870.33,ATM,Credit Card,2024-07-01 10:02:29,6011781977398501,Kenneth Warner,5,Discover,Chase,Canada,Pending,Refund,4867,CAD,0,2024-07-01,10:02:29,West Caitlyn,Washington
TX00099,M0099,505.78,Online,Credit Card,2024-11-13 07:09:01,571888635281,Steven Gomez,4,Discover,Citibank,Australia,Pending,Purchase,1619,USD,0,2024-11-13,07:09:01,Porterhaven,California
TX00100,M0100,34.69,Online,Credit Card,2024-06-15 09:50:33,2720091552677779,Michael Andrade MD,4,MasterCard,Chase,USA,Approved,Purchase,3399,EUR,1,2024-06-15,09:50:33,Taylorview,Oregon
TX00101,M0101,750.02,ATM,Debit Card,2024-03-22 03:35:03,4499859218003134,Ashley Strong,7,Visa,Wells Fargo,Canada,Pending,Refund,4796,CAD,0,2024-03-22,03:35:03,Jennifertown,North Carolina
TX00102,M0102,798.87,ATM,Credit Card,2024-03-18 19:42:25,4496933022243567,Peter Smith,2,Discover,Bank of America,Germany,Approved,Purchase,2888,CAD,1,2024-03-18,19:42:25,South Tinahaven,New Mexico
TX00103,M0103,878.59,POS,Credit Card,2025-01-12 21:20:40,30269390003759,William Bradley,1,Visa,Chase,UK,Pending,Chargeback,5824,CAD,1,2025-01-12,21:20:40,New Alexandermouth,New Hampshire
TX00104,M0104,839.31,ATM,Debit Card,2024-11-07 16:09:36,2409631830188244,Sheila Cox,5,Discover,Citibank,USA,Approved,Purchase,5248,EUR,1,2024-11-07,16:09:36,Port Williamchester,Washington
TX00105,M0105,479.57,POS,Credit Card,2024-06-04 06:34:21,4801224555005536,Gregory Hess,2,Visa,Bank of America,Australia,Approved,Purchase,1149,AUD,0,2024-06-04,06:34:21,Rebeccahaven,New York
TX00106,M0106,596.65,Online,Debit Card,2024-08-13 10:05:31,639017650941,Michelle Brady,4,MasterCard,Citibank,Canada,Declined,Chargeback,6712,AUD,1,2024-08-13,10:05:31,Alanfort,New Jersey
TX00107,M0107,621.42,Online,Credit Card,2025-01-01 05:55:49,3568789003554348,Cheryl Strickland,3,Discover,Chase,UK,Declined,Purchase,9724,CAD,1,2025-01-01,05:55:49,South Aprilview,Massachusetts
TX00108,M0108,640.67,POS,Debit Card,2024-12-21 15:50:33,30463458999384,Taylor Wheeler,5,American Express,HSBC,UK,Approved,Chargeback,8433,USD,1,2024-12-21,15:50:33,Greenport,Pennsylvania
TX00109,M0109,36.85,POS,Debit Card,2024-06-29 02:33:19,213149189373184,Tammy Lucero,4,Visa,Citibank,Canada,Pending,Purchase,8568,EUR,0,2024-06-29,02:33:19,Lopezbury,Colorado
TX00110,M0110,344.17,POS,Debit Card,2024-05-14 14:54:54,4197642838543567660,Alexis Marshall,10,Visa,Citibank,Canada,Declined,Chargeback,4386,CAD,0,2024-05-14,14:54:54,West Johnside,Arizona
TX00111,M0111,532.75,POS,Debit Card,2025-02-12 15:02:19,2538100660125407,Michelle Holden,1,American Express,Citibank,USA,Declined,Purchase,2191,GBP,0,2025-02-12,15:02:19,Dawnborough,Colorado
TX00112,M0112,949.55,ATM,Debit Card,2025-01-02 14:56:17,4066164689098316754,Sandra Mendez PhD,12,Visa,Wells Fargo,Germany,Approved,Purchase,9844,EUR,0,2025-01-02,14:56:17,Turnertown,Tennessee
TX00113,M0113,368.85,POS,Credit Card,2025-02-03 15:18:30,4443682881891503,Michelle Hood,3,Visa,HSBC,Canada,Approved,Refund,4528,GBP,0,2025-02-03,15:18:30,Kevinview,Ohio
TX00114,M0114,19.31,ATM,Debit Card,2024-09-04 03:49:44,4598961935190184,Anthony Brown,1,Visa,Citibank,USA,Pending,Refund,4195,AUD,0,2024-09-04,03:49:44,South Sarah,Utah
TX00115,M0115,411.7,POS,Debit Card,2024-09-12 01:12:18,2291170616644675,Vincent Duncan,2,American Express,Chase,Canada,Declined,Purchase,3431,AUD,1,2024-09-12,01:12:18,West Toddview,New Jersey
TX00116,M0116,101.96,Online,Credit Card,2024-12-29 17:24:04,2718380686514675,Mr. Craig Brown,12,Discover,Chase,UK,Declined,Refund,6599,AUD,1,2024-12-29,17:24:04,Robinsonshire,Nebraska
TX00117,M0117,698.12,POS,Credit Card,2024-12-07 09:39:03,3501006966370087,Cynthia Park,6,MasterCard,Citibank,Australia,Declined,Purchase,1501,USD,0,2024-12-07,09:39:03,Wolfemouth,Iowa
TX00118,M0118,366.0,POS,Credit Card,2024-12-09 21:48:05,6572711369152407,Jack Hunter,11,Visa,Citibank,Canada,Declined,Refund,2740,USD,0,2024-12-09,21:48:05,Carrilloshire,Ohio
TX00119,M0119,947.44,Online,Credit Card,2024-09-15 23:19:11,2265484529759427,William Armstrong,7,MasterCard,Chase,Australia,Declined,Chargeback,7297,EUR,1,2024-09-15,23:19:11,Port Jeremyview,Tennessee
TX00120,M0120,361.21,POS,Credit Card,2024-05-10 06:41:39,4672712573730927875,Anna Chapman MD,8,Discover,HSBC,Germany,Approved,Chargeback,5918,GBP,1,2024-05-10,06:41:39,East Maryfort,New York
TX00121,M0121,730.65,Online,Debit Card,2024-08-22 08:08:44,5136441185742410,Maria Mcclain,11,MasterCard,HSBC,UK,Pending,Refund,6317,AUD,0,2024-08-22,08:08:44,Lake Josehaven,New York
TX00122,M0122,304.3,Online,Debit Card,2024-11-30 07:58:43,3571918785927274,Fernando Baxter,1,American Express,Chase,Germany,Approved,Purchase,9430,AUD,1,2024-11-30,07:58:43,South Travistown,Rhode Island
TX00123,M0123,365.31,ATM,Credit Card,2025-01-15 10:43:11,180028346681565,Katie Griffin,8,Visa,Bank of America,USA,Approved,Purchase,8254,EUR,1,2025-01-15,10:43:11,Lake Linda,West Virginia
TX00124,M0124,452.28,POS,Debit Card,2024-05-10 08:40:34,4279116862501764,Brent Richard,12,Visa,HSBC,UK,Declined,Chargeback,3220,GBP,0,2024-05-10,08:40:34,Welchport,Illinois
TX00125,M0125,236.64,Online,Credit Card,2024-12-17 23:05:20,3539848646530549,Ronald Duke,5,MasterCard,Chase,USA,Declined,Chargeback,7985,EUR,0,2024-12-17,23:05:20,Port Jonathan,Tennessee
TX00126,M0126,125.0,POS,Credit Card,2025-03-02 16:28:34,4406029971715,Samantha Henson,6,MasterCard,Chase,UK,Approved,Purchase,9774,CAD,1,2025-03-02,16:28:34,North Robinville,Oklahoma
